Hostname;VRF_Name;Route-Distinguisher;;;
ROA1.CAD1;VRF-CABLE-CYCLADES-DCN;10481:90104;;;
ROA1.CAD1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.CAD1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.CAD1;VRF-FCORP-AGUAS-SANTAFESINAS;7303:216;;;
ROA1.CAD1;VRF-FCORP-BANCO-DE-GALICIA-Y-BUENOS-AIRES-S-A;10481:11132;;;
ROA1.CAD1;VRF-FCORP-MIN-GOB-REF-EST-TECO;7303:569;;;
ROA1.CAD1;VRF-FCORP-NUEVO-BANCO-DE-SANTA-FE;10481:11222;;;
ROA1.CAD1;VRF-FCORP-RIBEIRO-SACIFAI;10481:11280;;;
ROA1.CAD1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.BOL1;VRF-CABLE-CMTS-BOL1;10481:10052;;;
ROA1.BOL1;VRF-CABLE-CYCLADES-DCN;10481:90104;;;
ROA1.BOL1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.BOL1;VRF-CABLE-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.BOL1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24052;;;
ROA1.BOL1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26052;;;
ROA1.BOL1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28052;;;
ROA1.BOL1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27052;;;
ROA1.BOL1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25052;;;
ROA1.BOL1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.BOL1;VRF-FCORP-BANCO-DE-GALICIA-Y-BUENOS-AIRES-S-A;10481:11132;;;
ROA1.BOL1;VRF-FCORP-YPF-SA;10481:11002;;;
ROA1.BOL1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
ROA1.LAB1;VRF-CABLE-CMTS-LAB1;10481:10027;;;
ROA1.LAB1;VRF-CABLE-CYCLADES-DCN;10481:90104;;;
ROA1.LAB1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.LAB1;VRF-CABLE-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.LAB1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.LAB1;VRF-FCORP-DYNAMIC-TECHNOLOGY-SRL-SRT;10481:11338;;;
ROA1.LAB1;VRF-FCORP-LOTERIA-PROV-CBA;7303:1240;;;
ROA1.LAB1;VRF-FCORP-SUPERCANAL-TECO;7303:2621;;;
ROA1.LAB1;VRF-FCORP-YPF-SA;10481:11002;;;
ROA1.LAB1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
ROA1.LAB1;VRF-NAVEGACION-IRONPORT;10481:11449;;;
ROA1.ACC1;VRF-CABLE-CMTS-ACC1;10481:10057;;;
ROA1.ACC1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.ACC1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.ACC1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.SAA1;VRF-FTTH-TOIP-SYMPHONICA;7303:200026;;;
ROA1.DOR1;VRF-CABLE-CMTS-DOR1;10481:10016;;;
ROA1.DOR1;VRF-CABLE-CYCLADES-DCN;10481:90104;;;
ROA1.DOR1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.DOR1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.DOR1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
ROA1.DOR1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.TER1;VRF-CABLE-CMTS-TER1;10481:10029;;;
ROA1.TER1;VRF-CABLE-CYCLADES-MGMT;10481:90104;;;
ROA1.TER1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.TER1;VRF-MHUB-DCN-MONITOREO-ENERGIA;10481:90107;;;
ROA1.TER1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.NIC1;INTER-AS-CLARO-15008;10481:15008;;;
ROA1.NIC1;VRF-CABLE-CMTS-NIC1;10481:10202;;;
ROA1.NIC1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.NIC1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.NIC1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.NIC1;VRF-FCORP-AUTOSTADT_SA;10481:11341;;;
ROA1.NIC1;VRF-FCORP-BANCO-COLUMBIA-SA;10481:11401;;;
ROA1.NIC1;VRF-FCORP-BANCO-DE-GALICIA-Y-BUENOS-AIRES-S-A;10481:11132;;;
ROA1.NIC1;VRF-FCORP-BBVA-BANCO-FRANCES-SA;10481:11093;;;
ROA1.NIC1;VRF-FCORP-BOLDT;10481:11011;;;
ROA1.NIC1;VRF-FCORP-COMPANIA-FINANCIERA-ARGENTINA-SA;10481:11008;;;
ROA1.NIC1;VRF-FCORP-CONS-MAGISTRATURA;10481:11044;;;
ROA1.NIC1;VRF-FCORP-CORREO-ANDREANI-SA;10481:11136;;;
ROA1.NIC1;VRF-FCORP-DYNAMIC-TECHNOLOGY-SRL;10481:11258;;;
ROA1.NIC1;VRF-FCORP-FCORP-NSS-SA-LIBERTADOR-4101;10481:11202;;;
ROA1.NIC1;VRF-FCORP-GARBARINO-SA;10481:11070;;;
ROA1.NIC1;VRF-FCORP-GRUPO-ORONO-TECO;7303:2749;;;
ROA1.NIC1;VRF-FCORP-ICBC-SA;10481:11063;;;
ROA1.NIC1;VRF-FCORP-JEFATURA-DE-GABINETE-SALUD;10481:11389;;;
ROA1.NIC1;VRF-FCORP-MAXICONSUMO-SA;10481:11281;;;
ROA1.NIC1;VRF-FCORP-MIN-PUB-POD-JUD-TECO;7303:200231;;;
ROA1.NIC1;VRF-FCORP-MINISTERIO-FISCAL-TECO;7303:3000;;;
ROA1.NIC1;VRF-FCORP-NUEVO-BANCO-DE-SANTA-FE;10481:11222;;;
ROA1.NIC1;VRF-FCORP-OSDE;10481:11133;;;
ROA1.NIC1;VRF-FCORP-PJ-CONS-MAGIST-TECO;7303:115;;;
ROA1.NIC1;VRF-FCORP-PODER-JUDICIAL-ADMINISTRACION-JUSTICIA;10481:11142;;;
ROA1.NIC1;VRF-FCORP-RIBEIRO-SACIFAI;10481:11280;;;
ROA1.NIC1;VRF-FCORP-TECHNOLOGY-SRL-SR;10481:11338;;;
ROA1.NIC1;VRF-FCORP-UTN-SAN-NICOLAS;10481:11009;;;
ROA1.NIC1;VRF-FCORP-YPF-SA;10481:11002;;;
ROA1.NIC1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
ROA1.NIC1;VRF-FTTH-TOIP-SYMPHONICA;7303:200026;;;
ROA1.NIC1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.NIC1;VRF-MINISTERIO-PUB-PODER-JUD-TECO;7303:1376;;;
ROA1.GGU1;VRF-CABLE-CMTS-GGU1;10481:10076;;;
ROA1.GGU1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.GGU1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.GGU1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.GGU1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.GGU1;VRF-VIDEO-CANALES-LOCALES-GGU-GGY;10481:20076;;;
ROA1.AVA1;INTER-AS-CLARO-15006;10481:15006;;;
ROA1.AVA1;INTER-AS-CLARO-15010;10481:15010;;;
ROA1.AVA1;TEST;10481:314159;;;
ROA1.AVA1;VRF-CABLE-CMTS-AVA1;10481:10013;;;
ROA1.AVA1;VRF-CABLE-CYCLADES-MGMT;10481:90104;;;
ROA1.AVA1;VRF-CABLE-DCN-BBI-ANILLO-BA-METRO;10481:90115;;;
ROA1.AVA1;VRF-CABLE-DCN-HUB-MGMT;10481:90107;;;
ROA1.AVA1;VRF-CABLE-GESTION-SDH-HUAWEI-ACCESO;10481:29088;;;
ROA1.AVA1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24013;;;
ROA1.AVA1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26013;;;
ROA1.AVA1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28013;;;
ROA1.AVA1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27013;;;
ROA1.AVA1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25013;;;
ROA1.AVA1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.AVA1;VRF-CABLE-WIMAX-OM;10481:90001;;;
ROA1.AVA1;VRF-CABLE-WIMAX-R6-R4;10481:90006;;;
ROA1.AVA1;VRF-CLARO-INTER-AS-TEST-ESCENARIO1;10481:14099;;;
ROA1.AVA1;VRF-CLARO-INTER-AS-TEST-ESCENARIO2;11664:20000992;;;
ROA1.AVA1;VRF-FCORP-BANCO-GALICIA-SA;10481:11132;;;
